Products,Product groups,QTY,Safety Stock
MENTOS,Cough Relief ¥ Lozenges,33,2
MGO MANUKA HONEY DROPS,Cough Relief ¥ Lozenges,29,2
Ricola Drops 45g S/f Elderflower Box,Cough Relief ¥ Lozenges,39,2
Ricola Drops 45g S/f Lemon Mint Box,Cough Relief ¥ Lozenges,23,2
RICOLA lozenges sugar free blackcurrant 45g,Cough Relief ¥ Lozenges,17,2
RICOLA lozenges sugar free eucalyptus cherry 70g,Cough Relief ¥ Lozenges,31,2
RICOLA lozenges sugar free raspberry mint 45g,Cough Relief ¥ Lozenges,22,2
RICOLA soothe & clear honey lemon & echinacea 75g ,Cough Relief ¥ Lozenges,15,2
RICOLA soothe & clear original herb 75g ,Cough Relief ¥ Lozenges,16,2
STREFEN HONEY & LEMON,Cough Relief ¥ Lozenges,24,2
Strefen Honey & Lemon 16 Loz,Cough Relief ¥ Lozenges,22,2
Strepsil Sore Throat&cgh 24,Cough Relief ¥ Lozenges,19,2
Strepsils Extra Blackc 24s,Cough Relief ¥ Lozenges,9,2
Strepsils Extra Triple Action Cherry Lozenges,Cough Relief ¥ Lozenges,30,2
Strepsils H/l Double Action,Cough Relief ¥ Lozenges,33,2
Strepsils Hny&lmn 16S,Cough Relief ¥ Lozenges,7,2
STREPSILS honey & lemon lozenges 0.6mg/1.2mg  36,Cough Relief ¥ Lozenges,22,2
Strepsils Orange & Vit C 36 Orange & Vitamin C,Cough Relief ¥ Lozenges,7,2
Strepsils Org 16s,Cough Relief ¥ Lozenges,17,2
Strepsils S/berry Sf 36s,Cough Relief ¥ Lozenges,28,2
VICKS TRIPLE ACTION LOZ,Cough Relief ¥ Lozenges,36,2
VICKS vapodrops menthol  10,Cough Relief ¥ Lozenges,2,2
Bronchostop Pastilles,Cough Relief ¥ Pastilles,7,2
ALMUS simple linctus cough relief oral solution 125mg/5ml 200ml,Cough Relief ¥ Soothing Syrups,13,2
ALMUS tickly cough syrup 0.75mg/5ml 200ml,Cough Relief ¥ Soothing Syrups,6,2
B/cup Broncho Past 10s,Cough Relief ¥ Soothing Syrups,39,2
BENYLIN dry cough & tickly 300ml,Cough Relief ¥ Soothing Syrups,5,2
Benylin Dry Cough Night 150ml,Cough Relief ¥ Soothing Syrups,13,2
Buttercup Syrup Orginal 150ml,Cough Relief ¥ Soothing Syrups,9,2
COVONIA DRY TICKLY SF,Cough Relief ¥ Soothing Syrups,38,2
COVONIA medicated lozenges lemon 5mg/1mg  36,Cough Relief ¥ Soothing Syrups,13,2
COVONIA oral liquid all/in/one chesty cough cold & flu relief 3.0mg/200mg/1000mg/12.18mg 160ml,Cough Relief ¥ Soothing Syrups,26,2
Covonia Original Balsam,Cough Relief ¥ Soothing Syrups,25,2
Robitussin Dry Cough,Cough Relief ¥ Soothing Syrups,39,2
Covonia Throat Spray 30ml,Cough Relief ¥ Throat Spray,13,2
Ultra Ch/septic Hny&lmn 15ml,Cough Relief ¥ Throat Spray,19,2
Ultra Chlora Blkcrt Spry 15ml,Cough Relief ¥ Throat Spray,3,2
Ultra Chlora Cherry Spy 15ml,Cough Relief ¥ Throat Spray,24,2
COVID/19 ANTIGEN,Covid 19 Test,20,2
SILEX covid self test  1,COVID-19 Testing,35,2
Canesten Oasis For Cystitis Relief Cystitis Relief,Cystitis Relief,0,2
Cystitis Sachets X 6 Sachets,Cystitis Relief,25,2
Cystopurin Granules 6 X 7g Cranberry  3g,Cystitis Relief,2,2
FIXODENT denture adhesive cream complete fresh 70g,Denture Care,36,2
Fixodent Foodseal 40g,Denture Care,35,2
FIXODENT NEUTRAL,Denture Care,33,2
POLI/GRIP denture fixative cream ultra hold & neutral tasting 40g,Denture Care,30,2
Seabond Denture Uppers,Denture Care,35,2
Steradent Act Fresh 30 Tabs,Denture Care ¥ Cleaning,35,2
Steradent Active Plus 30 Tabs,Denture Care ¥ Cleaning,1,2
Steradentpro White Pro White,Denture Care ¥ Cleaning,4,2
ACCU/CHEK PERFORMA TEST STRIPS,Diabetes Testing Supplies,21,2
FREESTYLE LIBRE 2,Diabetes Testing Supplies,0,2
Glucorx Nexus Test Strips 50,Diabetes Testing Supplies,4,2
A&D blood pressure monitors wrist with AFib screening,Diagnostic Devices,33,2
ALVITA diagnostic thermometers flexible digital MT509,Diagnostic Devices,14,2
ALVITA diagnostic thermometers infrared non/contact forehead,Diagnostic Devices,16,2
ALVITA DIGITAL THERMOMETER,Diagnostic Devices,1,2
ARM BLOOD PRESSURE MONITOR,Diagnostic Devices,3,2
BRAUN ear thermometers thermoscan 3,Diagnostic Devices,15,2
INFARED EAR THERMOMETER,Diagnostic Devices,22,2
INFRARED MUTI/FUNCTION EAR THERMOMETER,Diagnostic Devices,1,2
KINETIK BLOOD PRESSURE MONITOR,Diagnostic Devices,34,2
KINETIK BLOODGLUCOSE MONITOR,Diagnostic Devices,28,2
MICROFINE NEEDLES 0.3,Diagnostic Devices,39,2
MICROLIFE blood pressure monitor BPB2 basic,Diagnostic Devices,11,2
OXYWATCH FINGERTIP OXIMETER,Diagnostic Devices,27,2
SAFE & SOUND thermometer rigid digital  ,Diagnostic Devices,37,2
SURESIGN,Diagnostic Devices,17,2
SURESIGN blood pressure monitor pulse & irregular heartbeat functions LD588,Diagnostic Devices,12,2
SURESIGN diabetes screening test urine glucose test  3,Diagnostic Devices,13,2
SURESIGN health check/up test  6,Diagnostic Devices,27,2
SURESIGN meningitis emergency pack,Diagnostic Devices,10,2
SURESIGN ovulation test  5,Diagnostic Devices,1,2
Suresign Thermometers 30 Second Digital,Diagnostic Devices,32,2
SURESIGN vitamin D deficiency test  1,Diagnostic Devices,11,2
PROBE COVERS,Diagnostic Devices ¥ Accessories,27,2
RAYOVAC HEARING AID BATTERY SIZE 675,Diagnostic Devices ¥ Hearing,10,2
NEWFOUNDLAND HIV self test,Diagnostic Devices ¥ HIV,14,2
SURESIGN URINARY TRACT INFECTION TEST STRIPS,Diagnostic Devices ¥ UTI,24,2
URINARY TRACT INFECTIONS 1 TEST,Diagnostic Devices ¥ UTI,18,2
ESOMEPRAZOLE 20MG 7 CAPS,Digestive Health ¥ Acid Reflux,16,2
Glycerin Adult Suppos 12s,Digestive Health ¥ Acid Reflux,25,2
GLYCEROL 4G SUPP,Digestive Health ¥ Acid Reflux,31,2
GUARDIUM GR TABS 20MG,Digestive Health ¥ Acid Reflux,20,2
NEXIUM CONTROL 20MG,Digestive Health ¥ Acid Reflux,11,2
PERRIGO heartburn & acid reflux control capsules 20mg  14,Digestive Health ¥ Acid Reflux,14,2
PERRIGO heartburn & acid reflux control capsules 20mg  7,Digestive Health ¥ Acid Reflux,28,2
PYROCALM CONTROL 20MG 14TAB,Digestive Health ¥ Acid Reflux,11,2
PYROCALM CONTROL 20MG 7TAB,Digestive Health ¥ Acid Reflux,24,2
FYBOCALM wind & bloating relief capsules 60mg  30,Digestive Health ¥ Bloating Relief,6,2
Buscopan Cramps,Digestive Health ¥ Cramp Relief,7,2
Pepto Bismol 240ml,Digestive Health ¥ Diarrhoea & Nausea,0,2
PeptO/Bismol 120ml,Digestive Health ¥ Diarrhoea & Nausea,13,2
Imodium Caps 2mg 6 Tabs,Digestive Health ¥ Diarrhoea Relief,5,2
IMODIUM DUAL ACTION 12 TABS,Digestive Health ¥ Diarrhoea Relief,35,2
IMODIUM INSTANT MELTS orodispersible tablets 2mg  12,Digestive Health ¥ Diarrhoea Relief,25,2
Imodium Instants 12s,Digestive Health ¥ Diarrhoea Relief,36,2
Imodium Instants 6,Digestive Health ¥ Diarrhoea Relief,14,2
IMODIUM ORIGINAL 2MG 12S,Digestive Health ¥ Diarrhoea Relief,11,2
LOPERAMIDE 2MG,Digestive Health ¥ Diarrhoea Relief,26,2
LOPERAMIDE ORAL LYOPHILISATE 2X6 TABLETS,Digestive Health ¥ Diarrhoea Relief,12,2
Fybogel Hi Fibre Lemon 10 Sac,Digestive Health ¥ Fibre Supplement,18,2
Fybogel HI/ Fibre Orange,Digestive Health ¥ Fibre Supplement,22,2
Fybogel Sachets Orange,Digestive Health ¥ Fibre Supplement,2,2
ISPAGHULA HUSK,Digestive Health ¥ Fibre Supplement,11,2
Ispaghula Orange,Digestive Health ¥ Fibre Supplement,38,2
YOUR FIBRE,Digestive Health ¥ Fibre Supplement,38,2
Charcoal Tablets 50s,Digestive Health ¥ Gas Relief,11,2
Rennie Deflatine,Digestive Health ¥ Gas Relief,0,2
Rennie Deflatine 18 Tablets,Digestive Health ¥ Gas Relief,35,2
WINDEZE 20S GEL,Digestive Health ¥ Gas Relief,13,2
Gaviscon 150ml Anis,Digestive Health ¥ Heartburn Relief,16,2
Gaviscon Adv Tabs 60 Mint,Digestive Health ¥ Heartburn Relief,6,2
GAVISCON ADVANCE 600ML,Digestive Health ¥ Heartburn Relief,35,2
GAVISCON ADVANCE liquid aniseed 200mg/1000mg 150ml ,Digestive Health ¥ Heartburn Relief,21,2
GAVISCON ADVANCE liquid aniseed 200mg/1000mg 300ml,Digestive Health ¥ Heartburn Relief,31,2
GAVISCON ADVANCE liquid peppermint 200mg/1000mg 500ml,Digestive Health ¥ Heartburn Relief,27,2
Gaviscon Advance P/Mint Tabs,Digestive Health ¥ Heartburn Relief,38,2
GAVISCON ADVANCE PEPPERMINT,Digestive Health ¥ Heartburn Relief,35,2
Gaviscon Dble Act Sachets 12,Digestive Health ¥ Heartburn Relief,3,2
Gaviscon Dble Action Tablets Mint 24,Digestive Health ¥ Heartburn Relief,33,2
Gaviscon Double Act Liq 300ml Peppermint,Digestive Health ¥ Heartburn Relief,15,2
GAVISCON DOUBLE ACTION chewable tablets mixed berries 187.5mg/250mg/106.5mg  48,Digestive Health ¥ Heartburn Relief,28,2
GAVISCON DOUBLE ACTION liquid aniseed 325mg/500mg/213mg 600ml,Digestive Health ¥ Heartburn Relief,16,2
GAVISCON DOUBLE ACTION liquid mixed berries 325mg/500mg/213mg 150ml,Digestive Health ¥ Heartburn Relief,18,2
GAVISCON DOUBLE ACTION liquid peppermint 325mg/500mg/213mg 600ml ,Digestive Health ¥ Heartburn Relief,17,2
Gaviscon Double Action Tablets,Digestive Health ¥ Heartburn Relief,35,2
GAVISCON LIQ ORG ANISEED 150ml,Digestive Health ¥ Heartburn Relief,17,2
GAVISCON liquid mint 80mg/5ml/250mg/5ml/133.5mg/5ml 250ml,Digestive Health ¥ Heartburn Relief,22,2
Gaviscon Lqd Pepp/mint 150ml,Digestive Health ¥ Heartburn Relief,39,2
Gaviscon Peppermint Tabs 48,Digestive Health ¥ Heartburn Relief,12,2
Gaviscon Tabs Peppermint 24,Digestive Health ¥ Heartburn Relief,25,2
Peptac Liquid,Digestive Health ¥ Heartburn Relief,36,2
PEPTAC LIQUID antacid liquid peppermint 80mg/5ml/250mg/5ml/133.5mg/5ml 500ml,Digestive Health ¥ Heartburn Relief,12,2
Rennie Heartburn Rel Mint 150ml,Digestive Health ¥ Heartburn Relief,11,2
Rennie Orange Chewable 24,Digestive Health ¥ Heartburn Relief,23,2
Rennie Sugar Free Tablets,Digestive Health ¥ Heartburn Relief,4,2
Rennie Tabs 24 Peppermint,Digestive Health ¥ Heartburn Relief,38,2
Rennie Tabs 24 Spearmint,Digestive Health ¥ Heartburn Relief,13,2
Rennie Tabs Peppermint 72s,Digestive Health ¥ Heartburn Relief,38,2
BUSCOPAN IBS 20S,Digestive Health ¥ IBS Relief,4,2
Buscopan Ibs Relief 40tabs,Digestive Health ¥ IBS Relief,5,2
Colofac Ibs 15 Tabs,Digestive Health ¥ IBS Relief,24,2
Colpermin Ibs Capsules 20,Digestive Health ¥ IBS Relief,3,2
Gaviscon Infant 30 Sachets,Digestive Health ¥ Infant,4,2
CALIFIG SYR FIG W/ FIBRE 100ml,Digestive Health ¥ Laxatives,0,2
MOVICOL EASE powder for oral solution sachets flavour free 13.125g/46.6mg/178.5mg/350.7mg  20,Digestive Health ¥ Laxatives,30,2
MOVICOL PLAIN tubular stick pads powder sachet 13.1250g/0.0502g/0.3508g/0.1786g  30,Digestive Health ¥ Laxatives,26,2
Movicol Sachets,Digestive Health ¥ Laxatives,26,2
MOVICOL tubular stick pads powder sachets 13.125g/46.6mg/178.5mg/350.7mg  20,Digestive Health ¥ Laxatives,19,2
Potassium Citrate Mix(care),Digestive Health ¥ Urinary Alkaliser,14,2
Ovex Family Pack 4 Tabs,Digestive Health ¥ Worm Treatment,11,2
OVEX SUSPENSION FAMILY PK 30ml,Digestive Health ¥ Worm Treatment,11,2
Ovex Tablet Single Tablet,Digestive Health ¥ Worm Treatment,14,2
ALVITA silicone ear plugs  3pairs,Ear Care,38,2
IHEARU EAR PLUG ONE SIZE,Ear Care  ¥ Plugs,30,2
EARCALM,Ear Care ¥ Infection Relief,39,2
EAROL ear wax remover almond oil aftercare spray 10ml,Ear Care ¥ Infection Relief,0,2
INFECTED EYE OINTMENT,Ear Care ¥ Infection Relief,26,2
Synthetic Wax Earplugs,Ear Care ¥ Noise Protection,1,2
CL/EAR pain relief  ear drops 0.5% 7g,Ear Care ¥ Pain Relief,1,2
EAR PLUGS 2P CHILDREN,Ear Care ¥ Plugs,39,2
EAR PLUGS 5P ORIGINAL,Ear Care ¥ Plugs,27,2
Quies Earplugs Foam Bright Colours  12,Ear Care ¥ Plugs,22,2
Quies Wax Earplugs 8 Pairs,Ear Care ¥ Plugs,5,2
OTOVENT GLUE EAR TREATMENT,Ear Care ¥ Pressure Relief,21,2
Cerumol 100% Olive Oil Ear Drops,Ear Care ¥ Wax Removal,13,2
CLEAREAR olive oil ear drops 10ml,Ear Care ¥ Wax Removal,34,2
EAR WAX REMOVAL,Ear Care ¥ Wax Removal,12,2
